,0
0,0.0
1,-0.06331881027191334
2,-0.0008679357991064954
3,-0.006721848131240485
4,-0.01979822103437397
5,0.019290544448205434
6,0.11863636370905159
7,-0.47693658384260107
8,0.0017324288114952994
9,-0.005521460520439521
10,-0.00239581778479081
